"Size","Rooms","Fee","Elevator","Balcony","Patio","Price"
77.4,3,3543,1,0,0,784700
112.7,3,6458,0,0,0,4730700
96.3,4,6288,1,1,0,6585000
108.2,5,6898,0,1,0,1666500
89.1,3,4892,1,0,0,2607700
59.1,3,3691,1,0,0,2567600
99.4,3,5013,1,0,0,8928400
51.8,2,3611,0,1,0,1249800
29,1,1744,0,1,0,1886500
64.9,2,3543,0,1,0,2253400
32.6,2,2325,0,0,0,2361900
74.6,4,4189,0,1,0,6969400
31.7,1,2318,1,0,0,1496300
92,3,6206,1,1,0,3766100
48.2,1,3234,0,1,0,2759900
80,3,3688,0,1,0,2540000
99.6,4,4599,0,1,0,4731500
49.9,3,3925,0,0,0,1443400
132.7,4,6963,1,1,0,1774200
62.5,3,3096,1,0,0,833200
31.7,2,2056,1,0,0,2383200
43,2,2938,0,0,0,1838600
51.7,2,3298,0,1,0,1591500
22.2,2,2022,0,1,0,1539800
63.9,3,3673,0,1,0,3367500
21.8,1,1588,1,1,0,1851000
64.3,2,4082,1,1,0,2390700
35.1,2,2965,1,1,0,1796400
68,3,3884,1,0,0,1973400
58.1,2,3571,0,1,0,1091000
73.3,4,3471,0,0,0,4212500
65.9,2,3472,1,1,0,4339900
88.3,3,3913,1,1,0,2125700
121.5,4,6356,1,1,0,3131000
41.8,1,3361,1,1,0,5067500
43.6,2,2219,0,1,0,2375000
75.6,2,4467,1,1,0,4008900
60,2,4087,1,1,0,2935700
66.4,3,3627,0,1,0,3063000
49.6,2,2779,0,0,0,3420300
47.9,3,3072,1,1,0,2598400
38.5,2,2214,1,1,0,3534500
39.8,2,3337,0,1,0,2474600
37.4,2,2768,0,1,0,2292100
38.7,2,2197,0,1,0,2164500
74.3,3,3487,0,0,0,5333700
59.3,2,3637,0,1,0,461100
64.6,3,3752,1,0,0,3261700
63.3,2,3264,0,1,0,3616700
74.1,2,3448,0,1,0,940100
45.9,2,2813,1,0,1,2734200
84.5,3,4531,0,1,1,1855300
55.6,3,2135,1,0,0,1888700
76.9,2,5035,0,0,0,2649800
80.4,3,4338,1,1,0,3076900
55.9,2,4842,0,0,0,2590500
54.6,2,2659,0,1,0,2221100
38.6,2,2904,1,0,0,3578400
63.4,3,3008,0,1,0,1722900
83.8,2,4889,1,1,0,3384100
113.6,5,4843,1,0,0,3310700
46.1,5,2824,0,0,0,3391800
40.8,2,3103,0,1,0,5243900
39.5,2,2985,0,1,0,2094100
59.7,2,3348,0,1,0,1949300
82.5,3,5223,1,0,0,2729300
51.2,3,3164,1,0,0,4356600
67.6,2,3655,0,1,0,1901000
55.5,3,3658,0,1,0,4333100
48.4,2,3886,1,1,0,2233200
96.2,3,5408,1,1,0,3596600
43.2,2,4571,0,1,0,1161700
92.4,3,5065,1,0,0,1598200
94,3,5443,1,0,0,5975100
58.6,2,2103,1,0,0,2782500
82,5,5350,0,1,0,3960800
61.7,3,2420,1,0,1,779700
29,1,2286,1,0,0,761600
53,2,3479,1,0,0,3385200
61.6,2,4026,1,0,0,3687800
57.4,5,2328,1,0,1,1005600
31,2,1305,1,0,0,1941400
61,2,3860,1,0,0,4582700
66.6,3,3552,0,1,0,1033900
63.4,2,2858,1,1,0,767500
92.1,3,6029,1,0,0,1062500
52,3,4211,0,1,0,808700
70.8,4,3469,1,1,0,571100
25.5,5,2328,1,0,0,1644200
86.8,3,5559,0,1,1,2373700
76.7,2,4391,0,1,1,3377200
42.6,2,2474,0,1,0,2954900
140.5,3,6525,1,0,1,7624100
51.5,5,2679,0,1,0,2719600
58.6,2,2428,0,1,0,1850700
67.3,2,2494,1,1,1,2247700
94.9,3,4312,1,0,0,1822200
82.5,3,4624,0,0,1,846800
25.6,5,2615,0,1,0,432300
64.4,5,3681,0,1,0,3861700
36.1,5,1857,0,1,0,997100
45.5,2,3802,1,1,0,3633900
22.7,1,1089,0,1,0,2158400
50.1,2,4014,0,0,1,1710300
113.5,4,6304,0,1,1,4876200
86.3,3,4548,0,0,0,3489800
90.8,3,4154,1,1,0,1780500
140.7,4,6759,1,0,0,3557700
87.9,3,5207,0,0,0,3097600
110.6,4,5547,0,1,0,5177600
63,3,3719,0,0,0,1538700
125.7,4,4494,0,0,0,5875700
70,3,3666,0,1,0,3677500
81,3,4530,1,0,0,1523600
78,3,4980,0,0,0,2041800
47,2,1793,0,1,0,586200
73.5,2,3213,1,0,0,1799100
86.9,3,5561,0,1,0,1631500
55.6,2,3144,0,1,0,4651500
66.2,2,4206,0,0,0,1793200
47.9,2,2818,1,0,0,3325200
114.3,4,7085,0,1,0,4123300
58.7,2,2883,0,1,0,2956500
96.1,3,5840,0,0,1,2945400
57.8,2,2426,0,0,0,5114100
61.8,2,2934,0,0,0,4375500
53.8,2,3298,0,1,0,2593600
67.7,3,4935,0,1,0,5972200
78.7,3,3949,1,1,0,1121600
57.1,5,4511,0,1,0,2217300
30.7,1,3167,1,0,0,1885100
69,2,4319,0,0,0,1374500
84,2,4701,0,1,0,1892500
108.4,4,6466,1,0,0,3240400
75.1,2,3839,1,1,0,2511600
74.6,3,5440,0,0,0,2002200
58.7,2,4186,0,1,0,1830600
43.7,2,3372,0,1,0,738200
52.4,2,3474,1,1,0,4435800
53.9,1,3690,1,1,0,2059800
54.2,2,3499,1,0,0,2387600
83.8,3,4927,0,0,0,1977300
72.6,2,4828,0,0,0,2778500
48.2,2,2974,0,1,0,1640400
119.8,3,5277,0,1,0,6137800
67.8,2,4145,0,1,0,2978200
57.2,2,4447,1,0,0,1725100
149.9,3,5640,0,0,0,4253800
65.2,2,2323,1,0,0,3853900
37.9,2,2527,0,1,1,4173300
56.2,2,3109,0,1,0,2031900
35.6,2,2228,1,1,0,1598300
45.5,2,2968,0,0,0,3707800
79.5,2,4883,0,0,0,3711600
86.8,3,4430,1,0,0,990500
96.8,3,5265,0,0,0,541600
77.7,3,4433,0,1,0,595700
38,2,2281,1,0,0,1542800
77,4,2991,1,0,0,2368200
40.8,1,2122,1,0,1,1535600
52.8,2,4102,1,1,0,3197500
33.4,1,1919,0,0,0,691000
42,1,2447,1,0,0,2134400
84.7,4,4918,1,1,0,3556700
54.6,5,4726,1,1,0,4261900
58.6,2,3538,0,0,0,2562200
40.4,2,2598,0,0,0,1778600
56.3,1,3991,1,0,0,2386900
51.4,2,3301,1,0,0,1985500
60.7,2,3687,0,0,0,3778100
78.4,2,4695,0,0,0,3180600
90.5,3,3833,0,1,0,2087300
50.5,2,4473,1,1,1,3425500
52,2,3316,1,0,0,2028500
67.7,2,4979,1,1,0,2007400
82.5,5,3722,1,0,1,1710600
19.1,1,1111,0,0,1,1666200
68.3,3,3380,0,0,0,2923600
67.4,3,5019,1,1,0,6379600
68.6,2,3613,1,0,0,3319500
37.1,2,3382,0,0,0,2650300
98.6,3,5562,1,1,0,2349500
40.8,1,3040,0,1,0,2175100
43.7,2,3731,0,1,1,3018400
57.6,5,4153,1,0,0,2059300
16.4,1,2185,1,0,0,1371300
44.5,2,1920,0,0,0,3700100
56.3,2,3714,1,0,0,2192100
50.6,3,2736,1,1,0,1627400
29,1,1814,0,0,0,4103400
44.6,2,3071,0,1,0,2268700
142,5,6697,0,1,0,3750400
32.7,1,2845,0,0,0,4350900
38,2,2726,1,1,1,1393000
82.7,4,3638,0,1,0,3810500
61.1,2,3377,0,1,0,5600700
26.8,1,2318,0,0,0,1776200
116,4,5919,0,1,0,2529300
126.9,4,6441,1,1,1,9793300
20,1,1447,1,0,0,2715600
35.7,2,2328,1,0,0,2441400
69.9,2,3371,0,1,0,4637600
62.7,2,2690,0,1,0,4475000
38.9,1,3298,0,1,0,2639900
51.3,2,2650,1,0,0,1270400
66.7,3,2524,1,1,1,2847900
56.1,2,4042,1,0,0,2096200
30.2,5,2869,0,0,1,4232700
131.2,5,7606,0,1,0,7162700
42.9,1,2461,0,1,0,1155300
45.3,2,3349,1,1,1,2384300
41,2,2020,0,1,0,3408700
54.2,2,3372,1,0,0,499500
58.4,2,1806,1,0,0,1734800
68.3,5,4796,1,1,0,480600
54.1,2,3983,1,1,0,870300
64.6,3,3829,0,1,0,2529200
98.9,4,4682,1,1,0,5631000
84.1,2,4645,1,1,0,2894700
82.1,2,4401,0,1,0,5147300
70.5,3,3446,0,1,0,2981100
68.6,2,4023,1,0,0,301100
54.7,5,2982,1,0,0,1368800
26.2,2,2277,0,0,0,2490800
32.4,1,1871,1,1,0,2307600
55.7,2,4539,1,0,1,1508500
78.5,4,4580,1,0,0,1966900
106.7,3,5322,0,0,1,4340700
55.6,2,5345,0,0,0,4059500
62,3,3297,1,1,0,1748500
44.8,1,3021,0,1,1,1440700
60.4,2,4100,1,1,0,515400
77.8,2,3450,0,0,0,4033100
22.8,5,1936,1,1,0,1102400
57.1,2,3624,0,1,0,2332700
53.7,1,4496,0,0,0,1801100
78.9,3,5003,0,1,0,3935200
93.1,3,5957,1,1,0,2931800
50.7,2,3379,1,0,0,3303400
56.7,2,2878,0,0,0,2557100
69.4,2,4439,1,1,0,5134800
42.3,2,2485,1,0,0,4754500
52.6,3,2805,1,0,0,2781300
68.2,3,4154,0,1,0,2504800
106.4,4,5811,1,0,0,2394900
72.6,3,2543,0,1,1,2363700
56.3,2,2305,0,1,0,1336500
51.5,2,2025,0,1,0,1550000
66.4,4,2363,0,1,0,611200
47.8,1,4344,1,0,0,2754500
49.6,2,2426,0,0,0,3273500
52.4,5,3973,1,0,0,1833400
69.8,3,4170,1,1,0,2180600
